birth_rate,country,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,no_of_records,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,region,tourism_inbound,tourism_outbound,year,header,personal,business,total,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
0.01,poland,1.90E+11,0.059,292,0.008,0.1,78,70,0.3,1,0.187,0.688,0.125,38248076,0.618,Europe,5121000000,3595000000,2001,Data,10760,4240,15000,9,307,83,60982,6,9,33
0.009,russian federation,3.07E+11,0.057,119,0.019,0,72,59,0.1,1,0.175,0.698,0.127,145976473,0.733,Europe,4726000000,9760000000,2001,Data,18567,3028,21595,34,306,869,19704,24,48,609
0.044,sierra leone,1079478388,0.16,40,0.139,0,40,38,0,1,0.429,0.547,0.024,4295667,0.359,Africa,14000000,42000000,2001,Data,14.6,9.5,24.1,11.4,3.2,1.8,6.3,1.4,0,0
0.012,singapore,89285087395,0.024,526,0.003,0.4,80,76,0.7,1,0.211,0.714,0.075,4138000,1,Asia,4641000000,6600000000,2001,Data,5922,1601,7523,81,434,5298,1124,72,508,5
0.009,slovenia,20498926981,0.086,883,0.004,0.3,80,72,0.7,1,0.155,0.701,0.144,1992060,0.508,Europe,1059000000,560000000,2001,Data,1006,213,1219,0,33,15,1160,0,0,10
0.024,south africa,1.18E+11,0.086,223,0.053,0.1,57,53,0.2,1,0.325,0.64,0.036,44909738,0.574,Africa,3256000000,2366000000,2001,Data,5231,556,5787,4131,242,194,1028,13,28,151
0.01,spain,6.09E+11,0.072,1089,0.005,0.2,83,76,0.7,1,0.146,0.685,0.169,40756001,0.763,Europe,33829000000,8466000000,2001,Data,44081,4484,48565,0,2125,256,45019,0,0,1165
0.018,sri lanka,15746224410,0.037,31,0.013,0,76,68,0,1,0.265,0.672,0.064,18797000,0.184,Asia,347000000,402000000,2001,Data,314,23,337,1,16,49,211,6,54,0
0.039,sudan,13182872555,0.035,16,0.067,0,60,57,0,1,0.436,0.534,0.03,28434810,0.325,Africa,3000000,74000000,2001,Data,40,10,50,7,4,10,11,13,5,0
0.022,suriname,763465571,0.084,136,0.029,0,72,65,0.2,1,0.304,0.638,0.058,473312,0.665,The Americas,26000000,62000000,2001,Data,51,3,54,0,3,1,49,0,0,0
0.01,sweden,2.27E+11,0.089,2268,0.003,0.5,82,78,0.8,1,0.183,0.645,0.172,8895960,0.841,Europe,5200000000,7916000000,2001,Data,4651,2781,7432,0,255,111,3368,0,0,374
0.03,syrian arab republic,21099833784,0.049,58,0.019,0,75,72,0,1,0.404,0.563,0.034,16700984,0.523,Middle East,1150000000,670000000,2001,Data,3026,300,3326,71,43,25,472,2237,237,585
0.014,thailand,1.16E+11,0.033,61,0.018,0.1,75,67,0.1,1,0.238,0.694,0.068,63069070,0.326,Asia,9378000000,3334000000,2001,Data,9047,1014,10061,91,604,6492,2396,129,350,71
0.028,tonga,167042880,0.057,96,0.015,0,73,69,0,1,0.382,0.56,0.058,98504,0.23,Oceania,6800000,3200000,2001,Data,26,6,32,0,7,21,4,0,0,0
